Art;AnzNDGes;AnzNDGesU;AnteilNDU;AnzProzGes;AnzProzGesU;AnteilProzU
Gesamt;108544026;5641870;0,052;63190728;69537;0,0011
Gesamt ohne Duplikate;105931972;5548697;0,0524;55932609;64648;0,0012
