Bundesland_A;Stufe;Anzahl KH;Anteil KH;BLCode;BettenstufeSort
01_Schleswig-Holstein;bis 49 Betten;18;0,3051;01;b0049 
01_Schleswig-Holstein;50 bis 99 Betten;9;0,1525;01;b0099 
01_Schleswig-Holstein;100 bis 149 Betten;3;0,0508;01;b0149 
01_Schleswig-Holstein;150 bis 199 Betten;5;0,0847;01;b0199 
01_Schleswig-Holstein;200 bis 249 Betten;4;0,0678;01;b0249 
01_Schleswig-Holstein;250 bis 299 Betten;0;0,00;01;b0299 
01_Schleswig-Holstein;300 bis 399 Betten;6;0,1017;01;b0399 
01_Schleswig-Holstein;400 bis 499 Betten;4;0,0678;01;b0499 
01_Schleswig-Holstein;500 bis 599 Betten;3;0,0508;01;b0599 
01_Schleswig-Holstein;600 bis 799 Betten;2;0,0339;01;b0799 
01_Schleswig-Holstein;800 bis 999 Betten;0;0,00;01;b0999 
01_Schleswig-Holstein;1000 Betten und mehr;3;0,0508;01;b1000+
01_Schleswig-Holstein;Ohne Angabe;2;0,0339;01;oA    
02_Hamburg;bis 49 Betten;5;0,1515;02;b0049 
02_Hamburg;50 bis 99 Betten;1;0,0303;02;b0099 
02_Hamburg;100 bis 149 Betten;5;0,1515;02;b0149 
02_Hamburg;150 bis 199 Betten;5;0,1515;02;b0199 
02_Hamburg;200 bis 249 Betten;2;0,0606;02;b0249 
02_Hamburg;250 bis 299 Betten;2;0,0606;02;b0299 
02_Hamburg;300 bis 399 Betten;1;0,0303;02;b0399 
02_Hamburg;400 bis 499 Betten;0;0,00;02;b0499 
02_Hamburg;500 bis 599 Betten;4;0,1212;02;b0599 
02_Hamburg;600 bis 799 Betten;5;0,1515;02;b0799 
02_Hamburg;800 bis 999 Betten;0;0,00;02;b0999 
02_Hamburg;1000 Betten und mehr;1;0,0303;02;b1000+
02_Hamburg;Ohne Angabe;2;0,0606;02;oA    
03_Niedersachsen;bis 49 Betten;25;0,1506;03;b0049 
03_Niedersachsen;50 bis 99 Betten;24;0,1446;03;b0099 
